Surname;GivenName;Gender;Age;Birthday;Centimeters;Kilograms;ZipCode;StreetAddress;City;TelephoneNumber;id
Dubeau      ;Fauna     ;female;72;12/4/1951;166;90.5;6800;9 Chemin Du Lavarin Sud      ;CAGNES-SUR-MER      ;466.983.251;25001
Poirier     ;Joséphine ;female;20;4/3/2004;154;86.6;32000;66 rue Sadi Carnot           ;AUCH                ;528.480.776;25002
Bussière    ;Fortun    ;male  ;82;6/3/1941;168;69;48000;31 rue Reine Elisabeth       ;MENDE               ;490.802.863;25003
Duffet      ;Suzette   ;female;42;7/12/1981;173;85.3;95500;77 rue Jean-Monnet           ;GONESSE             ;138.128.321;25004
L'Angelier  ;Manville  ;male  ;61;1/14/1963;174;90.7;44000;45 place Stanislas           ;NANTES              ;291.415.213;25005
Bonenfant   ;Caresse   ;female;76;1/26/1948;167;84.8;97300;88 rue Porte d'Orange        ;CAYENNE             ;522.704.860;25006
Morneau     ;Fletcher  ;male  ;32;12/15/1991;175;107.7;13140;19 rue Bonneterie            ;MIRAMAS             ;428.381.222;25007
Quessy      ;Josette   ;female;37;7/18/1986;172;73.4;17300;88 rue de Groussay           ;ROCHEFORT           ;524.381.783;25008
Bonsaint    ;Agrican   ;male  ;63;7/23/1960;183;85.9;59493;80 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;337.480.695;25009
Pirouet     ;Émile     ;male  ;64;2/25/1960;177;83;94190;83 place de Miremont         ;VILLENEUVE-SAINT-GEO;101.662.313;25010
Mercure     ;Margaux   ;female;21;4/8/2003;164;72.1;13011;92 boulevard de la Liberation;MARSEILLE           ;440.148.904;25011
Berie       ;Jacquenett;female;82;9/8/1941;170;74.1;75013;2 rue La Boétie              ;PARIS               ;190.408.669;25012
Jetté       ;Noémi     ;female;21;2/11/2003;154;97.3;34090;54 rue de la Mare aux Carats ;MONTPELLIER         ;475.327.092;25013
Lacharité   ;Felicien  ;male  ;50;7/10/1973;184;115.2;50000;87 avenue du Marechal Juin   ;SAINT-LÔ            ;260.324.476;25014
Tétrault    ;Roxanne   ;female;22;9/4/2001;174;51;8000;20 place Maurice-Charretier  ;CHARLEVILLE-MÉZIÈRES;338.096.266;25015
Franchet    ;Avenall   ;male  ;48;10/1/1975;181;113;33800;52 cours Jean Jaures         ;BORDEAUX            ;594.965.396;25016
Croquetaigne;Saber     ;male  ;47;6/28/1976;174;73;76400;64 rue Charles Corbeau       ;FÉCAMP              ;295.424.852;25017
Charbonneau ;Leverett  ;male  ;85;12/7/1938;174;60.6;77380;59 Place de la Gare          ;COMBS-LA-VILLE      ;133.982.309;25018
Bossé       ;Sophie    ;female;22;9/26/2001;158;74.9;62800;49 Chemin Challet            ;LIÉVIN              ;392.317.977;25019
Laliberté   ;Thiery    ;male  ;78;12/1/1945;170;74.7;5000;55 rue Saint Germain         ;GAP                 ;497.906.897;25020
Lebel       ;Karel     ;male  ;26;4/2/1998;174;98.8;23000;79 Avenue des Tuileries      ;GUÉRET              ;547.071.460;25021
Daoust      ;Gradasso  ;male  ;34;3/13/1990;180;90.8;35200;68 rue Lenotre               ;RENNES              ;227.488.113;25022
Rancourt    ;Gifford   ;male  ;67;2/12/1957;164;66.7;59280;42 rue de Lille              ;ARMENTIÈRES         ;354.580.662;25023
Croteau     ;Louis     ;male  ;54;2/8/1970;181;71.4;59280;18 rue de Lille              ;ARMENTIÈRES         ;328.269.000;25024
Petit       ;Théodore  ;male  ;55;8/1/1968;178;87.9;75002;27 Square de la Couronne     ;PARIS               ;159.501.566;25025
Primeau     ;Medoro    ;male  ;52;2/25/1972;179;86.6;86100;15 rue du Gue Jacquet        ;CHÂTELLERAULT       ;592.202.957;25026
Boisclair   ;Gay       ;female;39;7/11/1984;161;79.7;38300;20 rue Petite Fusterie       ;BOURGOIN-JALLIEU    ;424.009.047;25027
Barrette    ;Favor     ;female;80;8/18/1943;164;66.4;92390;28 place de Miremont         ;VILLENEUVE-LA-GARENN;199.341.739;25028
Blanchard   ;Sophie    ;female;73;4/25/1951;156;88;39100;33 rue des lieutemants Thomaz;DOLE                ;354.465.449;25029
