Surname;GivenName;Gender;Age;Birthday;Centimeters;Kilograms;ZipCode;StreetAddress;City;TelephoneNumber
Lemaître    ;Stéphane ;male  ;67;5/8/1957;181;91.3;83500;89 rue du Clair Bocage       ;LA SEYNE-SUR-MER    ;429.041.873
Brodeur     ;Julien   ;male  ;35;7/9/1988;182;69.1;91210;98 rue Cazade                ;DRAVEIL             ;187.378.945
Labrecque   ;Neville  ;male  ;85;6/20/1938;168;;57100;;THIONVILLE          ;303.924.845
Gadbois     ;Geoffrey ;male  ;;7/31/1965;170;72.3;94200;93 route de Lyon             ;IVRY-SUR-SEINE      ;185.568.129
Desruisseaux;Pierre   ;male  ;66;6/9/1957;182;84.2;77340;62 rue de la Boétie          ;PONTAULT-COMBAULT   ;178.285.677
Robert      ;Ogier    ;male  ;71;1/18/1953;;76.4;57200;11 rue des six frères Ruellan;;338.469.954
Moreau      ;Bruno    ;male  ;35;12/20/1988;177;89;;46 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;359.664.891
Beaudry     ;Nathalie ;female;47;5/22/1976;165;96.1;84000;34 Rue Joseph Vernet         ;AVIGNON             ;468.259.155
Lachance    ;Mavise   ;female;66;12/30/1957;170;59.2;91190;71 rue Saint Germain         ;GIF-SUR-YVETTE      ;
Mouet       ;Mandel   ;male  ;54;12/11/1969;172;94.9;69100;;VILLEURBANNE        ;475.005.953
Beaudoin    ;Fabien   ;male  ;;11/18/1942;171;;97122;78 Rue Joseph Vernet         ;BAIE-MAHAULT        ;520.816.069
Jardine     ;Donatien ;male  ;;3/4/2004;176;97.9;95000;50 rue de Penthièvre         ;PONTOISE            ;359.071.169
Achin       ;Fortun   ;male  ;32;12/26/1991;186;81.2;;66 rue Beauvau               ;MARSEILLE           ;468.941.515
Bériault    ;Parnella ;;41;10/3/1982;164;;93260;53 rue du Général Ailleret   ;LES LILAS           ;141.387.489
Mailhot     ;Adrienne ;female;67;7/10/1956;;70.7;62100;3 Chemin Du Lavarin Sud      ;CALAIS              ;388.639.338
Vachon      ;Varden   ;;;2/5/1967;178;98.2;95300;;PONTOISE            ;343.601.844
Labrecque   ;Parfait  ;male  ;52;9/20/1971;;;97150;53 rue des Dunes             ;SAINT-MARTIN        ;538.956.019
